Jugador,25/05/2026,19/05/2026,13/05/2026,07/05/2026,01/05/2026,24/04/2026,18/04/2026,12/04/2026,06/04/2026,30/03/2026,24/03/2026,17/03/2026,11/03/2026,05/03/2026,27/02/2026,20/02/2026,14/02/2026,08/02/2026,01/02/2026,26/01/2026,20/01/2026,14/01/2026,08/01/2026,01/01/2026,26/12/2025,20/12/2025,13/12/2025,07/12/2025,02/12/2025,26/11/2025,19/13/2025,13/11/2025,07/11/2025,30/10/2025,25/10/2025,19/10/2025,13/10/2025,06/10/2025,30/09/2025,24/09/2025,18/09/2025,11/09/2025,05/09/2025,30/08/2025,24/08/2025,17/08/2025,10/08/2025,04/08/2025,28/07/2025,22/07/2025,15/07/2025,08/07/2025,01/07/2025
Cal Kestis,5122,5092,4532,4100,4467,3862,3910,3232,3142,3277,3097,2752,2590,2280,2700,2385,2102,2272,2100,2452,2142,2032,2100,2100,1780,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1460,1500,1500,1480,1420,1445,1460,1380,1390,1385,1370,1440,1350,1060,1210,1020,1060,1070
Dark Iskender,4410,5100,2970,4400,3420,3525,4050,4140,2700,4010,3860,3450,2400,2600,1400,2712,2550,2030,600,1650,2127,1680,1410,0,2140,1860,1598,1370,1460,1320,990,1020,835,1080,972,405,826																
YEPISTARS,5062,4867,4927,3360,4072,5040,4350,4325,5050,4905,4158,4800,3880,3420,3960,3470,3367,2100,2700,3115,2722,2850,2660,2600,2850,2417,0,1970,1970,1940,1850,0,1740,1560,1212,1180																	
Blas,5055,4950,4950,4950,4440,4665,4880,4650,5047,,0,4950,4650,4730,4650,4650,4350,4582,3727,3802,3810,3997,3337,3380,3400,3397,3450,3290,2980,2950,2470,2400,2400,2100,2100,1690,1500,1400,1140,1100,942,860,870,935,280,712,605,632,605,605,600,600,205
Linde Forklift,4515,3540,4440,4680,3540,2085,2100,2025																																													
josmartini,4365,4372,3977,3440,4001,4665,3920,4612,4012,3361,3622,3255,3160,3090,2810,3030,3725,3325,3660,3262,3765,3720,3167,2200,3030,2325,3002,2980,2730,3000,2050,2025,1630,1870,1930,1800,1710,1720,1740,1660,1637,1410,1430,1360,1492,1200,1435,1180,1160,1140,1150,961,968
Mariskal101DA,4245,4560,4035,3380,3532,3442,3360,3187,3255,3202,3082,3067,2950,2750,2490,2932,2242,2895,2490,2872,2250,2422,2140,2540,2730,2932,2873,2930,2300,1800,1460,1500,1350,1330,1307,1210,1200,1257,1200,1200,945,1120,945,1140,922,922,922,900,922,690,845,802,320
Remus,4350,4260,4270,4250,3992,4040,3970,4020,3675,3650,3650,3677,3450,3150,3150,3150,3000,2700,2850,2550,2400,2287,2250,2250,2100,2250,2100,2100,1500,1500,1500,1500,1460,1500,1500,1500,1500,1475,1200,1200,1200,1170,450,605,600,600,745,600,860,600,870,495,600
Nami88,4200,4200,4200,4200,4165,3000,3300,3300,3300,,0,3080,3120,3140,3260,3300,3280,3240,3720,3242,3300,3222,1200,3000,2960,3060,3060,3160,3180,2890,2740,2475,2360,2300,2205,2220,2220,2175,2200,2170,0,2060,2050,1430,1720,1340,1140,900
Nakillo,3900,3900,0,4200,4200,3900,4200,4145,3982,3967,3945,3682,3840,3410,3640,3620,3600,2790,2782,2767,2797,2767,2782,2770,2470,2700,2320,2590,2180,2180,1900,2015,1670,1800,1800,0,1740,1755,1800,1740,1755,1500,1540,1480,1200,0,1200,1120,1050,750,750,750,698
technochurchill,3855,4065,2595,3350,3142,3217,3240,3390,2700,3300,2692,2660,2630,2550,2550,2520,2345,2400,2400,2345,2400,2280,2070,2340,1960,2205,1990,2070,1960,1580,1430,1585,1220,1300,1217,1180,1200,1062,1280,1260,1185,1000,600,900,770,628,0,750,575,560,560		
Chinadapowers,3525,3710,3460,3140,3235,3185,3000,2965,2910,2912,2812,2660,2860,2360,2490,2400,2400,2107,2257,2415,1962,2100,1800,2020,1980,1917,1950,1650,1870,1670,1500,1375,1310,1200,0,1050,1050,1050,1050,990,795,1010,675,772,772,782,942,405,795,600			
Peleas,3240,3450,3450,3450,3450,3600,3450,3450,3400,3040,3080,3000,3100,3080,3000,3100,3050,900,2820,2700,2700,2700,2250,2250,2250,2250,2250,2150,2150,2100,1350,1612,1600,1300,1545,1500,1500,1448,1500,1500,1500,1500,1500,1500,1500,1140,1125,1320,1200,1150,1070,282,35
Daimon Tlan,3547,3217,3112,3370,3540,3405,3270,3487,3487,3202,3502,3240,3270,3220,3060,3097,2970,2685,2785,2775,2570,2810,2735,2600,2620,2695,2690,2540,2560,2040,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1372,1360,1230,1180,1195								
ALEX TANO,3450,3360,3300,3410,3367,3307,3540,3275,3410,3450,3450,3340,3450,3360,3210,3240,3235,3170,3405,3200,3027,3300,3300,2800,2620,2560																									275,255,280
Biobof,3382,3162,3382,3380,3367,3367,3070,3067,3122,3120,3120,3160,3160,3400,3460,3062,3182,3120,2940,2765,2855,2735,2255,2200,1820,1695,1687,1540,1350,1350,1370,1350,1350,1370,1395,1100,1370,1372,1350,1350,1287,1370,1350,1120,472,715,692,460					
Dace Joy,3300,3450,3150,3080,3150,3105,3150,3150,3150,3150,3105,3150,3090,3020,3080,2952,2550,2550,2250,1650,1650,1690,1200,1200,1200,1130,1200,1200,1120,1200,975,975,1050,1130,1180,878,1110,1060,1120,1050,985,755,890,845,820,740,655,750,680,740,690,795,730
Yoryino,3225,3225,3300,3240,3225,3225,3150,3225,3225,3300,3300,3225,3300,3240,3220,3225,2635,3300,3300,3300,3300,3300,1670,3140,3340,3380,3192,2440,2320,2320,2320,2325,2180,2260,1425,1420,1420,1275,1280,1140,1020,975,750,600									
Oldboy,3300,3300,3150,2630,2550,2135,2070,1505,2370,1350,2032,2032,1950,2030,1950,1950,1915,1350,1590,1650,1522,1222,1500,1500,1200,1140,830,1160,1110,1050,1050,1050,1040,1120,1042,1050,848,772,750,698,670,638,715,645,600,580,422,532,460,505,480,265,300
Darkguderian,3000,3000,3000,3150,3000,3000,2700,2850,2550,,0,2550,2550,2410,2340,2250,2650,2362,2100,2100,2100,1800,1650,1360,1350,1320,1350,1300,1460,1230,900,900,300,900,900,300,900,870,890,850,890,890,900,900,600,890,750,750,750,720,710,625,332
in flames / Almax,3000,3150,3030,3060,2945,2130,3070,3050,2300,3030,3010,2860,2900,2620,2940,2045,2100,1540,1642,1650,1530,900,1625,750,1340,1377,1345,1350,1330,1340,1260,1255,1340,0,1050,1260,1050,1345,1260,1100,0,1280,0,1180,1050,970,940,905,955,450,495		
Destroner,2860,2660,2450,2400,2250,2100,1950,2100																																													
Tantema RayGarnik,2827,2350,2262,2820,2085,2347,2440,2412,2550																																												
Dass Jenir,2485,2577,2240,2560,2485,2510,2510,2760,2525,2535,2640,2600,2440,2380,2560,2215,2560,2380,900,2250,2182,2257,2272,2100,2020,2032,1995,1960,1780,1630,1600,1635,1560,1400,1787,1700,1620,1552,1580,1650,1565,1570,1560,1420,1350,1560,1650,1650,1650,1650,1200,1200,1340
Bald Dart,2322,2477,2387,2410,2475,1920,2110,2040,1927,1822,1860,1837,1800,1810,1810,1807,1830,1815,1780,1807,1782,1750,1800,1620,1300,1190,1285,1280,1280,1100,1040,1005,1010,900,995,878,895,785,812,795,775,812,775,770,835,740,745,665,670,630,642,660,645
Kairas,1800,2107,1995,2190,2047,1500,1500,1500,1500,1500,1200,1200,1200,1180,1200,1200,1200,1200,1200,1145,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,845,690,695,848,700,735,520,550,530,555,555,525,550,358,390,315,300,300
Hill,1290,2160,2087,2020,1725,1852,1560,1558,1602,1582,1620,1792,1780,1170,1600,1685,1915,1542,1346,1342,1305,1367,1535,1140,1020,1371,1180,1020,1030,1010,1000,585,615,525,480,475,448,540,615,420,320,442,432,355,392,495,437,365,362,372,265,105,328
Céfiro,1920,1500,1800,1650,1790,1450,1170,1127																																													
Wasnapido SeaWalker,1882																																																				
JokerVerde,1805,1785,1366,1460,1560,1770,1760,1725,1765,1850,1728,1832,1570,1580,1460,1400,1452,1350,1275,1222,1150,1050,1050,1050,1050,0,1140,1200,1050,900,0,900,900,900,900,0,900,855,842,855,870,740,672,900,310,0,325,305,305,295,440,445,480
